Tb427VSG-1	Tb427_000630400
Tb427VSG-1151	Tb427_000212900
Tb427VSG-1152	Tb427_000281600:pseudogene
Tb427VSG-1153	Tb427_000464900
Tb427VSG-1154	Tb427_000330800
Tb427VSG-1155	Tb427_000861900
Tb427VSG-1156	Tb427_000568700:pseudogene
Tb427VSG-1157	Tb427_070071000:pseudogene
Tb427VSG-1158	Tb427_000350300
Tb427VSG-1159	Tb427_000092100:pseudogene
Tb427VSG-1160	Tb427_000234100
Tb427VSG-1161	Tb427_000505800
Tb427VSG-1162	Tb427_000526000:pseudogene
Tb427VSG-1163	Tb427_000131500:pseudogene
Tb427VSG-1164	Tb427_000252800
Tb427VSG-1165	Tb427_000223500:pseudogene
Tb427VSG-1166	Tb427_000164700:pseudogene
Tb427VSG-1167	Tb427_000528100:pseudogene
Tb427VSG-1168	Tb427_000596000:pseudogene
Tb427VSG-1169	Tb427_000263900
Tb427VSG-1170	Tb427_000669800
Tb427VSG-1171	Tb427_000329900
Tb427VSG-1172	Tb427_000188400
Tb427VSG-1173	Tb427_000366500:pseudogene
Tb427VSG-1174	Tb427_000185400
Tb427VSG-1176	Tb427_000615500:pseudogene
Tb427VSG-1177	Tb427_000246000
Tb427VSG-1179	Tb427_000305800:pseudogene
Tb427VSG-1180	Tb427_000188900
Tb427VSG-1181	Tb427_000238200
Tb427VSG-1182	Tb427_000396300
Tb427VSG-1183	Tb427_000327900:pseudogene
Tb427VSG-1184	Tb427_000468700:pseudogene
Tb427VSG-1185	Tb427_000471400:pseudogene
Tb427VSG-1186	Tb427_000610200:pseudogene
Tb427VSG-1187	Tb427_000373700
Tb427VSG-1188	Tb427_000613800:pseudogene
Tb427VSG-1189	Tb427_000849600
Tb427VSG-1190	Tb427_000503800
Tb427VSG-1191	Tb427_000176300
Tb427VSG-1192	Tb427_000505700
Tb427VSG-1193	Tb427_000424400
Tb427VSG-1194	Tb427_000031100
Tb427VSG-1195	Tb427_000560800:pseudogene
Tb427VSG-1196	Tb427_000519200
Tb427VSG-1197	Tb427_000466300
Tb427VSG-1198	Tb427_000459500
Tb427VSG-1199	Tb427_000041000:pseudogene
Tb427VSG-1200	Tb427_020033700:pseudogene
Tb427VSG-1201	Tb427_000278500:pseudogene
Tb427VSG-1202	Tb427_000858500
Tb427VSG-1203	Tb427_000225200:pseudogene
Tb427VSG-1204	Tb427_000460900:pseudogene
Tb427VSG-1205	Tb427_000049400
Tb427VSG-1206	Tb427_000568400:pseudogene
Tb427VSG-1207	Tb427_000562900
Tb427VSG-1208	Tb427_000114900
Tb427VSG-1209	Tb427_000365500:pseudogene
Tb427VSG-1210	Tb427_000494200:pseudogene
Tb427VSG-1211	Tb427_000592800:pseudogene
Tb427VSG-1213	Tb427_000094100:pseudogene
Tb427VSG-1214	Tb427_000220700:pseudogene
Tb427VSG-1215	Tb427_000230000
Tb427VSG-1216	Tb427_000305400:pseudogene
Tb427VSG-1217	Tb427_000202300:pseudogene
Tb427VSG-1218	Tb427_000570100
Tb427VSG-1219	Tb427_000461500
Tb427VSG-1220	Tb427_000302400:pseudogene
Tb427VSG-1221	Tb427_000420800:pseudogene
Tb427VSG-1222	Tb427_000323900
Tb427VSG-1225	Tb427_000651900:pseudogene
Tb427VSG-1226	Tb427_000235400:pseudogene
Tb427VSG-1227	Tb427_000076700
Tb427VSG-1228	Tb427_000323500:pseudogene
Tb427VSG-1229	Tb427_000510400:pseudogene
Tb427VSG-1230	Tb427_000427000
Tb427VSG-1231	Tb427_000540300
Tb427VSG-1232	Tb427_000686300
Tb427VSG-1234	Tb427_000044100:pseudogene
Tb427VSG-1235	Tb427_000267200:pseudogene
Tb427VSG-1236	Tb427_000796600:pseudogene
Tb427VSG-1237	Tb427_000148700:pseudogene
Tb427VSG-1238	Tb427_000065400:pseudogene
Tb427VSG-1240	Tb427_000321700:pseudogene
Tb427VSG-1241	Tb427_000859900
Tb427VSG-1242	Tb427_000442300
Tb427VSG-1243	Tb427_000226900:pseudogene
Tb427VSG-1244	Tb427_000224900:pseudogene
Tb427VSG-1245	Tb427_000063100:pseudogene
Tb427VSG-1246	Tb427_000433800
Tb427VSG-1247	Tb427_000532200
Tb427VSG-1248	Tb427_000512800
Tb427VSG-1249	Tb427_000043700
Tb427VSG-1250	Tb427_000343700
Tb427VSG-1251	Tb427_000539000
Tb427VSG-1252	Tb427_000824200
Tb427VSG-1253	Tb427_000374700
Tb427VSG-1256	Tb427_000363800:pseudogene
Tb427VSG-1257	Tb427_000388300:pseudogene
Tb427VSG-1258	Tb427_000342900:pseudogene
Tb427VSG-1259	Tb427_000460000:pseudogene
Tb427VSG-1260	Tb427_000283000:pseudogene
Tb427VSG-1261	Tb427_000619200:pseudogene
Tb427VSG-1263	Tb427_000607000
Tb427VSG-1264	Tb427_000486700
Tb427VSG-1265	Tb427_000051700
Tb427VSG-1266	Tb427_000529200:pseudogene
Tb427VSG-1267	Tb427_000669000
Tb427VSG-1268	Tb427_000669600:pseudogene
Tb427VSG-1269	Tb427_000582600
Tb427VSG-1270	Tb427_000201700:pseudogene
Tb427VSG-1271	Tb427_000510100:pseudogene
Tb427VSG-1273	Tb427_000147300:pseudogene
Tb427VSG-1274	Tb427_000098900:pseudogene
Tb427VSG-1275	Tb427_000308400
Tb427VSG-1276	Tb427_000038700:pseudogene
Tb427VSG-1277	Tb427_000097800
Tb427VSG-1278	Tb427_000564400
Tb427VSG-1280	Tb427_000535100
Tb427VSG-1281	Tb427_000141300
Tb427VSG-1282	Tb427_000398100:pseudogene
Tb427VSG-1283	Tb427_000158500:pseudogene
Tb427VSG-1284	Tb427_000437700:pseudogene
Tb427VSG-1285	Tb427_000470200
Tb427VSG-1287	Tb427_000368600
Tb427VSG-1288	Tb427_000518800
Tb427VSG-1289	Tb427_000457500:pseudogene
Tb427VSG-1290	Tb427_000103300:pseudogene
Tb427VSG-1291	Tb427_000151800
Tb427VSG-1292	Tb427_000255800:pseudogene
Tb427VSG-1293	Tb427_000599300:pseudogene
Tb427VSG-1294	Tb427_000400400:pseudogene
Tb427VSG-1295	Tb427_000176600
Tb427VSG-1296	Tb427_000291400
Tb427VSG-1297	Tb427_000257600:pseudogene
Tb427VSG-1298	Tb427_000624800:pseudogene
Tb427VSG-1299	Tb427_000176200:pseudogene
Tb427VSG-1300	Tb427_000483100:pseudogene
Tb427VSG-1301	Tb427_000080400:pseudogene
Tb427VSG-1302	Tb427_000282800
Tb427VSG-1303	Tb427_000423500:pseudogene
Tb427VSG-1304	Tb427_000409300:pseudogene
Tb427VSG-1305	Tb427_000157900:pseudogene
Tb427VSG-1306	Tb427_000540800:pseudogene
Tb427VSG-1307	Tb427_000216300
Tb427VSG-1308	Tb427_000310000:pseudogene
Tb427VSG-1309	Tb427_000382000
Tb427VSG-1310	Tb427_000029900:pseudogene
Tb427VSG-1311	Tb427_000382500
Tb427VSG-1312	Tb427_000449400
Tb427VSG-1313	Tb427_000232900:pseudogene
Tb427VSG-1314	Tb427_000396100:pseudogene
Tb427VSG-1315	Tb427_000557600:pseudogene
Tb427VSG-1316	Tb427_030014400
Tb427VSG-1317	Tb427_000651000
Tb427VSG-1318	Tb427_000180300
Tb427VSG-1319	Tb427_000538400:pseudogene
Tb427VSG-1320	Tb427_000493600
Tb427VSG-1321	Tb427_000184400:pseudogene
Tb427VSG-1322	Tb427_000098200:pseudogene
Tb427VSG-1323	Tb427_000322400:pseudogene
Tb427VSG-1324	Tb427_000612300
Tb427VSG-1325	Tb427_000390500:pseudogene
Tb427VSG-1327	Tb427_000048800
Tb427VSG-1328	Tb427_000051600:pseudogene
Tb427VSG-1329	Tb427_000381100:pseudogene
Tb427VSG-1330	Tb427_000224400
Tb427VSG-1331	Tb427_000202100:pseudogene
Tb427VSG-1332	Tb427_000859000
Tb427VSG-1333	Tb427_000113000:pseudogene
Tb427VSG-1334	Tb427_000616400:pseudogene
Tb427VSG-1335	Tb427_000414800:pseudogene
Tb427VSG-1336	Tb427_000580800:pseudogene
Tb427VSG-1337	Tb427_000218300
Tb427VSG-1338	Tb427_000401600:pseudogene
Tb427VSG-1339	Tb427_000429700:pseudogene
Tb427VSG-1340	Tb427_000133700
Tb427VSG-1341	Tb427_000161400
Tb427VSG-1342	Tb427_000455100:pseudogene
Tb427VSG-1343	Tb427_000594900
Tb427VSG-1344	Tb427_000542400
Tb427VSG-1347	Tb427_000629400:pseudogene
Tb427VSG-1349	Tb427_000471900:pseudogene
Tb427VSG-1350	Tb427_000089600:pseudogene
Tb427VSG-1351	Tb427_000184000:pseudogene
Tb427VSG-1352	Tb427_000846300
Tb427VSG-1353	Tb427_000105800:pseudogene
Tb427VSG-1354	Tb427_000194900
Tb427VSG-1355	Tb427_000157500:pseudogene
Tb427VSG-1356	Tb427_000589200:pseudogene
Tb427VSG-1357	Tb427_000470700:pseudogene
Tb427VSG-1358	Tb427_000043900:pseudogene
Tb427VSG-1359	Tb427_000343300
Tb427VSG-1360	Tb427_000650900
Tb427VSG-1361	Tb427_000111800
Tb427VSG-1362	Tb427_000397900:pseudogene
Tb427VSG-1363	Tb427_000062700:pseudogene
Tb427VSG-1364	Tb427_000830100:pseudogene
Tb427VSG-1365	Tb427_000226500:pseudogene
Tb427VSG-1366	Tb427_000193300:pseudogene
Tb427VSG-1367	Tb427_000321200
Tb427VSG-1368	Tb427_000412500
Tb427VSG-1369	Tb427_000355500
Tb427VSG-1370	Tb427_000843800:pseudogene
Tb427VSG-1371	Tb427_000459100
Tb427VSG-1372	Tb427_000193800:pseudogene
Tb427VSG-1373	Tb427_110143800
Tb427VSG-1374	Tb427_000113400:pseudogene
Tb427VSG-1375	Tb427_000189700:pseudogene
Tb427VSG-1376	Tb427_000339200:pseudogene
Tb427VSG-1377	Tb427_000265400:pseudogene
Tb427VSG-1378	Tb427_000398900
Tb427VSG-1379	Tb427_000528900:pseudogene
Tb427VSG-1380	Tb427_000572000
Tb427VSG-1381	Tb427_070070800:pseudogene
Tb427VSG-1382	Tb427_000047500:pseudogene
Tb427VSG-1383	Tb427_000324300:pseudogene
Tb427VSG-1384	Tb427_000223800:pseudogene
Tb427VSG-1385	Tb427_000248600:pseudogene
Tb427VSG-1386	Tb427_000536200:pseudogene
Tb427VSG-1387	Tb427_000629800
Tb427VSG-1388	Tb427_000231900:pseudogene
Tb427VSG-1389	Tb427_000629900
Tb427VSG-1390	Tb427_000410100:pseudogene
Tb427VSG-1391	Tb427_000610700:pseudogene
Tb427VSG-1392	Tb427_000438300:pseudogene
Tb427VSG-1393	Tb427_000383400:pseudogene
Tb427VSG-1394	Tb427_000455800:pseudogene
Tb427VSG-1396	Tb427_000078400:pseudogene
Tb427VSG-1397	Tb427_000227300:pseudogene
Tb427VSG-1398	Tb427_000077900
Tb427VSG-1399	Tb427_000280100:pseudogene
Tb427VSG-1400	Tb427_000123200
Tb427VSG-1401	Tb427_000012200:pseudogene
Tb427VSG-1403	Tb427_000853000
Tb427VSG-1404	Tb427_000186400:pseudogene
Tb427VSG-1405	Tb427_000131200
Tb427VSG-1406	Tb427_000388000:pseudogene
Tb427VSG-1407	Tb427_000391500:pseudogene
Tb427VSG-1408	Tb427_000518500:pseudogene
Tb427VSG-1409	Tb427_000086600
Tb427VSG-1411	Tb427_000098100:pseudogene
Tb427VSG-1412	Tb427_000468800
Tb427VSG-1413	Tb427_000414700:pseudogene
Tb427VSG-1414	Tb427_000341100:pseudogene
Tb427VSG-1415	Tb427_000040000
Tb427VSG-1416	Tb427_000145800:pseudogene
Tb427VSG-1417	Tb427_000154800:pseudogene
Tb427VSG-1418	Tb427_000322900
Tb427VSG-1419	Tb427_000182200
Tb427VSG-1420	Tb427_000289300:pseudogene
Tb427VSG-1421	Tb427_000575100:pseudogene
Tb427VSG-1422	Tb427_000357600:pseudogene
Tb427VSG-1423	Tb427_000449500
Tb427VSG-1424	Tb427_000332500:pseudogene
Tb427VSG-1425	Tb427_000546200:pseudogene
Tb427VSG-1426	Tb427_000121100
Tb427VSG-1427	Tb427_000141500
Tb427VSG-1428	Tb427_000850800
Tb427VSG-1429	Tb427_000448100
Tb427VSG-1430	Tb427_000346500
Tb427VSG-1431	Tb427_000218400:pseudogene
Tb427VSG-1432	Tb427_000220100
Tb427VSG-1433	Tb427_000283500:pseudogene
Tb427VSG-1434	Tb427_000289700
Tb427VSG-1435	Tb427_000470300:pseudogene
Tb427VSG-1436	Tb427_000148600
Tb427VSG-1437	Tb427_000384700:pseudogene
Tb427VSG-1438	Tb427_000433100:pseudogene
Tb427VSG-1439	Tb427_000145700
Tb427VSG-1442	Tb427_000358900
Tb427VSG-1443	Tb427_000060100:pseudogene
Tb427VSG-1444	Tb427_000597200:pseudogene
Tb427VSG-1445	Tb427_000599200:pseudogene
Tb427VSG-1446	Tb427_000199100:pseudogene
Tb427VSG-1448	Tb427_000192500
Tb427VSG-1449	Tb427_000060600:pseudogene
Tb427VSG-1450	Tb427_000211700:pseudogene
Tb427VSG-1451	Tb427_000097100:pseudogene
Tb427VSG-1452	Tb427_000219200:pseudogene
Tb427VSG-1453	Tb427_000041700
Tb427VSG-1454	Tb427_000062400
Tb427VSG-1455	Tb427_000232300:pseudogene
Tb427VSG-1456	Tb427_000104500:pseudogene
Tb427VSG-1458	Tb427_000527300
Tb427VSG-1459	Tb427_000141100:pseudogene
Tb427VSG-1460	Tb427_000427500:pseudogene
Tb427VSG-1461	Tb427_000055800:pseudogene
Tb427VSG-1462	Tb427_000076400
Tb427VSG-1463	Tb427_000406400:pseudogene
Tb427VSG-1464	Tb427_000439900:pseudogene
Tb427VSG-1465	Tb427_000606600:pseudogene
Tb427VSG-1466	Tb427_000379000
Tb427VSG-1467	Tb427_000131600:pseudogene
Tb427VSG-1468	Tb427_000091200
Tb427VSG-1469	Tb427_000293800:pseudogene
Tb427VSG-1470	Tb427_000155600:pseudogene
Tb427VSG-1471	Tb427_000220200:pseudogene
Tb427VSG-1472	Tb427_000861800
Tb427VSG-1473	Tb427_000267100
Tb427VSG-1474	Tb427_000518700
Tb427VSG-1475	Tb427_000483600
Tb427VSG-1476	Tb427_000126400:pseudogene
Tb427VSG-1477	Tb427_000558900
Tb427VSG-1478	Tb427_000444800:pseudogene
Tb427VSG-1479	Tb427_000686600
Tb427VSG-1480	Tb427_000418400:pseudogene
Tb427VSG-1481	Tb427_000338200
Tb427VSG-1482	Tb427_000399400:pseudogene
Tb427VSG-1483	Tb427_000130200:pseudogene
Tb427VSG-1484	Tb427_000451500:pseudogene
Tb427VSG-1485	Tb427_000451400:pseudogene
Tb427VSG-1486	Tb427_000098300:pseudogene
Tb427VSG-1488	Tb427_000078900:pseudogene
Tb427VSG-1489	Tb427_000715500:pseudogene
Tb427VSG-1490	Tb427_000423400:pseudogene
Tb427VSG-1491	Tb427_000464300:pseudogene
Tb427VSG-1492	Tb427_000852500
Tb427VSG-1493	Tb427_000464800
Tb427VSG-1494	Tb427_000139700:pseudogene
Tb427VSG-1495	Tb427_000582800:pseudogene
Tb427VSG-1496	Tb427_000114500
Tb427VSG-1497	Tb427_000852700
Tb427VSG-1498	Tb427_000170700:pseudogene
Tb427VSG-1499	Tb427_000521400:pseudogene
Tb427VSG-1500	Tb427_000458100
Tb427VSG-1501	Tb427_000389300
Tb427VSG-1503	Tb427_000403000:pseudogene
Tb427VSG-1505	Tb427_000385000:pseudogene
Tb427VSG-1506	Tb427_000060700:pseudogene
Tb427VSG-1507	Tb427_000357800:pseudogene
Tb427VSG-1508	Tb427_000557300:pseudogene
Tb427VSG-1509	Tb427_000167000
Tb427VSG-1510	Tb427_000166900
Tb427VSG-1511	Tb427_000455300:pseudogene
Tb427VSG-1512	Tb427_000316100:pseudogene
Tb427VSG-1513	Tb427_000847200
Tb427VSG-1515	Tb427_000496700
Tb427VSG-1516	Tb427_000333700:pseudogene
Tb427VSG-1517	Tb427_000100700
Tb427VSG-1518	Tb427_000852000
Tb427VSG-1519	Tb427_000115900:pseudogene
Tb427VSG-1520	Tb427_000847700
Tb427VSG-1522	Tb427_000197000:pseudogene
Tb427VSG-1523	Tb427_000419000:pseudogene
Tb427VSG-1524	Tb427_000588800
Tb427VSG-1525	Tb427_000853600
Tb427VSG-1526	Tb427_000188600:pseudogene
Tb427VSG-1528	Tb427_000588200:pseudogene
Tb427VSG-1529	Tb427_000853100
Tb427VSG-1530	Tb427_000558000:pseudogene
Tb427VSG-1531	Tb427_000861600
Tb427VSG-1532	Tb427_000170400:pseudogene
Tb427VSG-1533	Tb427_000476700:pseudogene
Tb427VSG-1534	Tb427_000538900:pseudogene
Tb427VSG-1535	Tb427_000477100:pseudogene
Tb427VSG-1536	Tb427_000142600
Tb427VSG-1537	Tb427_000283800:pseudogene
Tb427VSG-1538	Tb427_000435300:pseudogene
Tb427VSG-1539	Tb427_000610500:pseudogene
Tb427VSG-1540	Tb427_000370400:pseudogene
Tb427VSG-1542	Tb427_000622100:pseudogene
Tb427VSG-1543	Tb427_000421900:pseudogene
Tb427VSG-1546	Tb427_000424100:pseudogene
Tb427VSG-1547	Tb427_000261100:pseudogene
Tb427VSG-1548	Tb427_000437800
Tb427VSG-1549	Tb427_000406100
Tb427VSG-1550	Tb427_000228700:pseudogene
Tb427VSG-1551	Tb427_000599600:pseudogene
Tb427VSG-1553	Tb427_000848800
Tb427VSG-1554	Tb427_030014700
Tb427VSG-1555	Tb427_000389800:pseudogene
Tb427VSG-1556	Tb427_000183500:pseudogene
Tb427VSG-1557	Tb427_000048600:pseudogene
Tb427VSG-1558	Tb427_000201000
Tb427VSG-1559	Tb427_030014800
Tb427VSG-1560	Tb427_000416200:pseudogene
Tb427VSG-1561	Tb427_000521200:pseudogene
Tb427VSG-1562	Tb427_000077700:pseudogene
Tb427VSG-1563	Tb427_000302500
Tb427VSG-1564	Tb427_000241900:pseudogene
Tb427VSG-1565	Tb427_000061500:pseudogene
Tb427VSG-1566	Tb427_000041800:pseudogene
Tb427VSG-1567	Tb427_000261500:pseudogene
Tb427VSG-1569	Tb427_000447300:pseudogene
Tb427VSG-1570	Tb427_000300300
Tb427VSG-1572	Tb427_000316400:pseudogene
Tb427VSG-1575	Tb427_000202400:pseudogene
Tb427VSG-1576	Tb427_000398300:pseudogene
Tb427VSG-1577	Tb427_000524300:pseudogene
Tb427VSG-1579	Tb427_000508400:pseudogene
Tb427VSG-1580	Tb427_000412100:pseudogene
Tb427VSG-1581	Tb427_000551500
Tb427VSG-1582	Tb427_000189100:pseudogene
Tb427VSG-1583	Tb427_000059900:pseudogene
Tb427VSG-1584	Tb427_000031400:pseudogene
Tb427VSG-1585	Tb427_000460800
Tb427VSG-1586	Tb427_000030400:pseudogene
Tb427VSG-1587	Tb427_000328900:pseudogene
Tb427VSG-1588	Tb427_000710200:pseudogene
Tb427VSG-1590	Tb427_000621100
Tb427VSG-1592	Tb427_000037500:pseudogene
Tb427VSG-1593	Tb427_000468100
Tb427VSG-1594	Tb427_000463400:pseudogene
Tb427VSG-1595	Tb427_000525100:pseudogene
Tb427VSG-1596	Tb427_000251500:pseudogene
Tb427VSG-1598	Tb427_000412000:pseudogene
Tb427VSG-1599	Tb427_000055900
Tb427VSG-1600	Tb427_000516000:pseudogene
Tb427VSG-1601	Tb427_000281000:pseudogene
Tb427VSG-1602	Tb427_000080900
Tb427VSG-1604	Tb427_000611600:pseudogene
Tb427VSG-1605	Tb427_000380300
Tb427VSG-1607	Tb427_000607100:pseudogene
Tb427VSG-1608	Tb427_000095300:pseudogene
Tb427VSG-1609	Tb427_000717300:pseudogene
Tb427VSG-1610	Tb427_000450000:pseudogene
Tb427VSG-1611	Tb427_000088400:pseudogene
Tb427VSG-1613	Tb427_000596900:pseudogene
Tb427VSG-1614	Tb427_000510700:pseudogene
Tb427VSG-1615	Tb427_000359600:pseudogene
Tb427VSG-1616	Tb427_000473700:pseudogene
Tb427VSG-1617	Tb427_000224100:pseudogene
Tb427VSG-1618	Tb427_000048900:pseudogene
Tb427VSG-1619	Tb427_000174400:pseudogene
Tb427VSG-1620	Tb427_000461800:pseudogene
Tb427VSG-1622	Tb427_000417200:pseudogene
Tb427VSG-1623	Tb427_000066100
Tb427VSG-1624	Tb427_000049100:pseudogene
Tb427VSG-1625	Tb427_000335600:pseudogene
Tb427VSG-1627	Tb427_000472900:pseudogene
Tb427VSG-1628	Tb427_000163400:pseudogene
Tb427VSG-1629	Tb427_000847500
Tb427VSG-1630	Tb427_000055700:pseudogene
Tb427VSG-1631	Tb427_000327400:pseudogene
Tb427VSG-1632	Tb427_000490100:pseudogene
Tb427VSG-1633	Tb427_000377200
Tb427VSG-1634	Tb427_000551900:pseudogene
Tb427VSG-1635	Tb427_000504800:pseudogene
Tb427VSG-1636	Tb427_000263500:pseudogene
Tb427VSG-1637	Tb427_000107500:pseudogene
Tb427VSG-1639	Tb427_000279000:pseudogene
Tb427VSG-1641	Tb427_000590600:pseudogene
Tb427VSG-1642	Tb427_000371000:pseudogene
Tb427VSG-1643	Tb427_000187200:pseudogene
Tb427VSG-1644	Tb427_000062100:pseudogene
Tb427VSG-1645	Tb427_000469100:pseudogene
Tb427VSG-1646	Tb427_000389400:pseudogene
Tb427VSG-1647	Tb427_000206300:pseudogene
Tb427VSG-1648	Tb427_000420500
Tb427VSG-1650	Tb427_000075700
Tb427VSG-1651	Tb427_000037700:pseudogene
Tb427VSG-1652	Tb427_000159900:pseudogene
Tb427VSG-1653	Tb427_000364600:pseudogene
Tb427VSG-1655	Tb427_000557700
Tb427VSG-1657	Tb427_000845800
Tb427VSG-1658	Tb427_000170200:pseudogene
Tb427VSG-1659	Tb427_000861400
Tb427VSG-1660	Tb427_000124600:pseudogene
Tb427VSG-1662	Tb427_000219400
Tb427VSG-1663	Tb427_000091100:pseudogene
Tb427VSG-1664	Tb427_000844700
Tb427VSG-1665	Tb427_000852600
Tb427VSG-1666	Tb427_050006200
Tb427VSG-1668	Tb427_000335300:pseudogene
Tb427VSG-1669	Tb427_000216200
Tb427VSG-1670	Tb427_000091600:pseudogene
Tb427VSG-1672	Tb427_000458000
Tb427VSG-1673	Tb427_000326200:pseudogene
Tb427VSG-1674	Tb427_000124100:pseudogene
Tb427VSG-1675	Tb427_000116900:pseudogene
Tb427VSG-1676	Tb427_000391100
Tb427VSG-1677	Tb427_000236200:pseudogene
Tb427VSG-1678	Tb427_000314100:pseudogene
Tb427VSG-1679	Tb427_000250900
Tb427VSG-1680	Tb427_000434500:pseudogene
Tb427VSG-1681	Tb427_000388200:pseudogene
Tb427VSG-1682	Tb427_000141800:pseudogene
Tb427VSG-1683	Tb427_000854100
Tb427VSG-1684	Tb427_000151500
Tb427VSG-1685	Tb427_000142500
Tb427VSG-1686	Tb427_000152400:pseudogene
Tb427VSG-1687	Tb427_000419800
Tb427VSG-1688	Tb427_000414300:pseudogene
Tb427VSG-1689	Tb427_000426000:pseudogene
Tb427VSG-1690	Tb427_000613900
Tb427VSG-1691	Tb427_000219700
Tb427VSG-1692	Tb427_000331200
Tb427VSG-1693	Tb427_000214200
Tb427VSG-1695	Tb427_000617700:pseudogene
Tb427VSG-1696	Tb427_000402100:pseudogene
Tb427VSG-1697	Tb427_000397500:pseudogene
Tb427VSG-1698	Tb427_000597600
Tb427VSG-1700	Tb427_000564700
Tb427VSG-1701	Tb427_000306900:pseudogene
Tb427VSG-1702	Tb427_000315800
Tb427VSG-1703	Tb427_000539900:pseudogene
Tb427VSG-1704	Tb427_000521300:pseudogene
Tb427VSG-1705	Tb427_000159700
Tb427VSG-1707	Tb427_000846600
Tb427VSG-1708	Tb427_000488200
Tb427VSG-1709	Tb427_000121400:pseudogene
Tb427VSG-1710	Tb427_000186500:pseudogene
Tb427VSG-1711	Tb427_000513700
Tb427VSG-1714	Tb427_000849400
Tb427VSG-1715	Tb427_000504700
Tb427VSG-1716	Tb427_000327600
Tb427VSG-1717	Tb427_000619400:pseudogene
Tb427VSG-1718	Tb427_000027200:pseudogene
Tb427VSG-1719	Tb427_000193500
Tb427VSG-1720	Tb427_000106200:pseudogene
Tb427VSG-1721	Tb427_000100600:pseudogene
Tb427VSG-1722	Tb427_000515200
Tb427VSG-1723	Tb427_000368700:pseudogene
Tb427VSG-1724	Tb427_000503200:pseudogene
Tb427VSG-1725	Tb427_000354900
Tb427VSG-1726	Tb427_000315100:pseudogene
Tb427VSG-1727	Tb427_000158600
Tb427VSG-1728	Tb427_000243300:pseudogene
Tb427VSG-1729	Tb427_000360200:pseudogene
Tb427VSG-1730	Tb427_000059200:pseudogene
Tb427VSG-1731	Tb427_000431900
Tb427VSG-1732	Tb427_000523600:pseudogene
Tb427VSG-1733	Tb427_000208700:pseudogene
Tb427VSG-1734	Tb427_000605100
Tb427VSG-1735	Tb427_000521800:pseudogene
Tb427VSG-1736	Tb427_000427300:pseudogene
Tb427VSG-1738	Tb427_000128000:pseudogene
Tb427VSG-1739	Tb427_000265300
Tb427VSG-1741	Tb427_000443800
Tb427VSG-1742	Tb427_000422600:pseudogene
Tb427VSG-1744	Tb427_000244700:pseudogene
Tb427VSG-1745	Tb427_000071400
Tb427VSG-1746	Tb427_000402900
Tb427VSG-1747	Tb427_000245300:pseudogene
Tb427VSG-1749	Tb427_000283600:pseudogene
Tb427VSG-1751	Tb427_000418500:pseudogene
Tb427VSG-1752	Tb427_000531100
Tb427VSG-1753	Tb427_000396000:pseudogene
Tb427VSG-1755	Tb427_000578300:pseudogene
Tb427VSG-1756	Tb427_000489200:pseudogene
Tb427VSG-1758	Tb427_000541100
Tb427VSG-1759	Tb427_000134500:pseudogene
Tb427VSG-1760	Tb427_000386700:pseudogene
Tb427VSG-1761	Tb427_000184500:pseudogene
Tb427VSG-1762	Tb427_000612600:pseudogene
Tb427VSG-1763	Tb427_000327200:pseudogene
Tb427VSG-1764	Tb427_000233300:pseudogene
Tb427VSG-1766	Tb427_000300100
Tb427VSG-1768	Tb427_000849100
Tb427VSG-1769	Tb427_000352500
Tb427VSG-1770	Tb427_000466900:pseudogene
Tb427VSG-1771	Tb427_000250300
Tb427VSG-1772	Tb427_000256600:pseudogene
Tb427VSG-1773	Tb427_000436100:pseudogene
Tb427VSG-1774	Tb427_000026600
Tb427VSG-1775	Tb427_000385300:pseudogene
Tb427VSG-1776	Tb427_000394200
Tb427VSG-1777	Tb427_000140600
Tb427VSG-1778	Tb427_000410400:pseudogene
Tb427VSG-1779	Tb427_000148900:pseudogene
Tb427VSG-1781	Tb427_000280500:pseudogene
Tb427VSG-1782	Tb427_000431500:pseudogene
Tb427VSG-1783	Tb427_000591200:pseudogene
Tb427VSG-1784	Tb427_000508200:pseudogene
Tb427VSG-1786	Tb427_000565100:pseudogene
Tb427VSG-1787	Tb427_000611900:pseudogene
Tb427VSG-1788	Tb427_000055100:pseudogene
Tb427VSG-1789	Tb427_000163000
Tb427VSG-1790	Tb427_000400900:pseudogene
Tb427VSG-1791	Tb427_000334500:pseudogene
Tb427VSG-1792	Tb427_000509300:pseudogene
Tb427VSG-1793	Tb427_000069800:pseudogene
Tb427VSG-1794	Tb427_000220800
Tb427VSG-1795	Tb427_000289000:pseudogene
Tb427VSG-1796	Tb427_000431200:pseudogene
Tb427VSG-1797	Tb427_000367600:pseudogene
Tb427VSG-1798	Tb427_000844800
Tb427VSG-1799	Tb427_000035100
Tb427VSG-1800	Tb427_000853900
Tb427VSG-1801	Tb427_000079400:pseudogene
Tb427VSG-1803	Tb427_000537100:pseudogene
Tb427VSG-1804	Tb427_000536100:pseudogene
Tb427VSG-1805	Tb427_000848100
Tb427VSG-1806	Tb427_000241700
Tb427VSG-1807	Tb427_000307000
Tb427VSG-1808	Tb427_000532000:pseudogene
Tb427VSG-1809	Tb427_000447500:pseudogene
Tb427VSG-1810	Tb427_000512700
Tb427VSG-1812	Tb427_000123800:pseudogene
